sample.id,Observed,Shannon,FaithPD,collection.date,motu,island.side,station,site,transect,distance.along.transect,lat,long,sample.type,health.state,algae.N15,algae.C13.not.acid,algae.N.percent,rat.status,mL_sterivex
TW201,671,4.928971773,80.69413719,7-Nov-21,rimatuu,leeward,Rm1Tc10,1,c,10,17.029,149.5607,water,NA,3.8,-7.62,0.41,exulans only,1050
TW202,425,4.53124056,55.75301065,7-Nov-21,rimatuu,leeward,Rm1Tc20,1,c,20,17.02899,149.56079,water,NA,3.56,-7.7,0.43,exulans only,1045
TW203,644,4.728784081,77.53977458,7-Nov-21,rimatuu,leeward,Rm1Tc30,1,c,30,17.029,149.56091,water,NA,3.45,-8.31,0.38,exulans only,1035
TW204,597,4.70855081,71.33689745,7-Nov-21,rimatuu,leeward,Rm1Tc40,1,c,40,17.02901,149.56099,water,NA,2.73,-9.29,0.46,exulans only,1075
TW206,619,5.133670738,79.68413793,11-Nov-21,rimatuu,windward,Rm2Ta20,2,a,20,17.0332,149.55606,water,NA,6.09,-9.11,0.5,exulans only,1085
TW207,484,4.653092803,60.5397023,11-Nov-21,rimatuu,windward,Rm2Ta30,2,a,30,17.03325,149.556,water,NA,5.33,-9.5,0.44,exulans only,1065
TW208,611,4.862511062,69.57708083,11-Nov-21,rimatuu,windward,Rm2Ta40,2,a,40,17.0332,149.55594,water,NA,5.78,-8.69,0.5,exulans only,1045
TW209,678,4.887874268,80.83351628,11-Nov-21,rimatuu,windward,Rm2Tb10,2,b,10,17.03298,149.55591,water,NA,5.66,-8.25,0.4,exulans only,1070
TW211,858,5.035095878,96.94684834,11-Nov-21,rimatuu,windward,Rm2Tb30,2,b,30,17.03312,149.55582,water,NA,6.19,-9.4,0.5,exulans only,1010
TW212,649,4.852044211,77.47115551,11-Nov-21,rimatuu,windward,Rm2Tb40,2,b,40,17.0332,149.55576,water,NA,6.34,-8.95,0.49,exulans only,1075
TW213,404,4.253671566,53.67894877,11-Nov-21,rimatuu,windward,Rm2Tc10,2,c,10,17.03278,149.55576,water,NA,7.93,-8.62,0.48,exulans only,1060
TW214,553,4.804487543,68.67927639,11-Nov-21,rimatuu,windward,Rm2Tc20,2,c,20,17.03285,149.55569,water,NA,6.6,-9.22,0.54,exulans only,1075
TW215,716,4.927480074,79.79055614,11-Nov-21,rimatuu,windward,Rm2Tc30,2,c,30,17.03291,149.5556,water,NA,6.71,-9.11,0.53,exulans only,1050
TW216,540,4.771237321,67.11699042,11-Nov-21,rimatuu,windward,Rm2Tc40,2,c,40,17.03296,149.55554,water,NA,6.96,-9.24,0.57,exulans only,1070
