fish.id,species,date.caught,month.caught,year.caught,motu,island.side,wind.exposure,date.processed,TL.cm,FL.cm,SL.cm,whole.weight.g,otoliths.label,otoliths.number,gonad.weight.g,sex,stage.coarse,stage.detailed,liver.weight.g,age.final,notes,notes.2
RIM19,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,16.4,14.6,12.6,122.15,C1,2,0.08,m,mature,,0.24,4,,
RIM20,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,15.8,14.1,12.3,111.66,C2,1,3.28,f,mature,G,0.21,4,,
RIM21,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,17.3,15.5,13.8,145.38,C3,2,3.12,f,mature,G,0.56,6,,
RIM22,Abudefduf septemfasciatus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,17,15.2,13.3,139.06,C4,2,3.88,f,mature,G,0.41,5,,
RIM27,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,23.6,,20.3,178.8,C9,2,4.81,f,mature,G,0.79,6,,
RIM28,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,32.8,,28.7,592.24,C10,2,0.95,m,mature,,2.71,6,,
RIM29,Cephalopholis argus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,35.7,,31.3,729.74,C11,2,1.12,m,mature,,2.82,11,,
RIM30,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,25.9,24.4,21.6,247.48,VIAL,2 (1 BROKEN,1,m,mature,,1.02,6,,
RIM31,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,26,24.3,21.7,218.16,VIAL,2,1.99,f,mature,G,1.19,4,,
RIM32,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,27.9,23.3,26,298.08,VIAL,2,2.06,f,mature,G,1.77,5,,
RIM33,Lutjanus fulvus,13-Dec-21,December,2021,Rimatuu,west,leeward,11-Jun-22,27.5,22.8,25.8,316.41,VIAL,2,9.07,f,mature,G,1.42,5,,
