"sample.id","Observed","Shannon","FaithPD","collection.date","motu","island.side","station","site","transect","distance.along.transect","lat","long","sample.type","health.state","algae.N15","algae.C13.not.acid","algae.N.percent","rat.status","mL_sterivex","Evenness","RelAbund_Rhodospirillales_AEGEAN_169_marine_group","RelAbund_SAR11_CladeIa","RelAbund_SAR11_CladeIb","RelAbund_SAR11_CladeII","RelAbund_Prochlorococcus","RelAbund_SAR116_Clade","RelAbund_SAR86_Clade","RelAbund_Synechococcus","RelAbund_Cellvibrionales_Aestuariicella","RelAbund_Alteromonadales_Agaribacter","RelAbund_Cytophagales_Candidatus_Amoebophilus","RelAbund_Endozoicomonas","RelAbund_Alteromonadales_Glaciecola","RelAbund_Oceanospirillales_Neptuniibacter","RelAbund_Cellvibrionales_Porticoccus","RelAbund_Woesearchaeales_SCGC_AAA286E23","RelAbund_Litoricola","RelAbund_Uncultured_Alteromonadaceaeae","NMDS1","NMDS2","beta_dispersion_motu_islandside","site.name"
"TC185",32,0.828432301,5.874810329,"5-Nov-21","reiono","windward","Re2Ta30",2,"a",30,17.04482,149.54414,"coral","D4",5.65,-9.36,0.34,"none (recently eradicated)",NA,0.239035034472987,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0,0,0.975223675154852,0,0,0,0,0,0,2.52785290376164,-1.79180044382146,0.475185206654154,"Re2"
"TC186",56,1.803342283,10.40082991,"5-Nov-21","reiono","windward","Re2Ta40",2,"a",40,17.04478,149.54407,"coral","E5",5.97,-9.34,0.44,"none (recently eradicated)",NA,0.447996205437308,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00275292498279422,0.0151410874053682,0.90020646937371,0,0,0,0,0,0,1.64733478979373,-1.87854135930364,0.310507214182047,"Re2"
"TC187",5,1.150421549,0.787914322,"5-Nov-21","reiono","windward","Re2Tb10",2,"b",10,17.04511,149.54422,"coral","E5",7.62,-7.19,0.47,"none (recently eradicated)",NA,0.714797097863882,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0178940123881624,0.981417756366139,0,0,0,0,0,0,3.20399761264275,0.174572085746675,0.234763347495253,"Re2"
"TC188",23,1.414025252,4.243909918,"5-Nov-21","reiono","windward","Re2Tb20",2,"b",20,17.04508,149.54414,"coral","E5",5.65,-9.69,0.34,"none (recently eradicated)",NA,0.450973643904802,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00137646249139711,0.00550584996558844,0.964900206469374,0,0,0,0,0,0,1.88281685990331,-0.112164791339804,0.265530100039011,"Re2"
"TC189",20,1.551046226,3.840369482,"5-Nov-21","reiono","windward","Re2Tb30",2,"b",30,17.04507,149.54405,"coral","E4",5.38,-10.19,0.33,"none (recently eradicated)",NA,0.517751949896348,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.984170681348933,0,0,0,0,0,0,2.70528019276751,-0.728828582167051,0.271370588902166,"Re2"
"TC190",15,1.312518827,3.063503158,"5-Nov-21","reiono","windward","Re2Tb40",2,"b",40,17.04504,149.54398,"coral","D3",5.09,-8.94,0.38,"none (recently eradicated)",NA,0.484673004387359,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00344115622849277,0,0.982794218857536,0,0,0,0,0,0,2.2535893107875,0.373223323823336,0.25786935482422,"Re2"
"TC191",9,1.308998484,1.850386225,"5-Nov-21","reiono","windward","Re2Tc10",2,"c",10,17.04559,149.54399,"coral","E5",7.23,-8.11,0.42,"none (recently eradicated)",NA,0.595750883865931,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.995870612525809,0,0,0,0,0,0,3.20433107756721,-0.363759946989089,0.275090453357342,"Re2"
"TC192",71,1.949802744,11.37199723,"5-Nov-21","reiono","windward","Re2Tc20",2,"c",20,17.04558,149.54388,"coral","E4/E5",4.69,-9.48,0.28,"none (recently eradicated)",NA,0.457412426042497,NA,NA,NA,NA,NA,NA,NA,NA,0.00137646249139711,0,0,0.875430144528562,0,0,0,0,0,0,0.124691474859984,-0.351261477747859,0.305337985788089,"Re2"
"TC193",223,3.101324086,27.01222236,"5-Nov-21","reiono","windward","Re2Tc30",2,"c",30,17.04556,149.54381,"coral","E5",5.07,-9.35,0.43,"none (recently eradicated)",NA,0.573557530087959,NA,NA,NA,NA,NA,NA,NA,NA,0.000688231245698555,0.0130763936682725,0,0.620784583620096,0.00206469373709566,0,0.00206469373709566,0,0,0.000688231245698555,-2.52167879263342,-3.31367200103235,0.458796888713498,"Re2"
"TC194",80,1.518757007,12.57285764,"5-Nov-21","reiono","windward","Re2Tc40",2,"c",40,17.04553,149.54372,"coral","E5",4.64,-8.55,0.31,"none (recently eradicated)",NA,0.346587808248917,NA,NA,NA,NA,NA,NA,NA,NA,0.0406056434962147,0.00137646249139711,0,0.697866483138334,0,0,0,0.135581555402615,0,0,-3.477572761149,1.27118092683995,0.782940703639536,"Re2"
